city,state,lat,lon,t95_c,t05_c,source,period,method
Phoenix,AZ,33.4484,-112.074,35.97,10.16,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Las Vegas,NV,36.175,-115.1372,31.5,4.55,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Tucson,AZ,32.2217,-110.9265,32.19,8.49,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Sacramento,CA,38.5816,-121.4944,26.83,7.96,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Fresno,CA,36.7477,-119.7724,30.05,7.83,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Bakersfield,CA,35.3733,-119.0187,28.68,8.47,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Riverside,CA,33.9533,-117.3961,27.75,8.61,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
El Paso,TX,31.7587,-106.4869,30.11,4.85,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Albuquerque,NM,35.0845,-106.6511,26.89,0.13,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Salt Lake City,UT,40.7608,-111.891,26.37,-5.52,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
